Panel,Genes,Threshold,AUROC,AUPRC,Accuracy,F1,Precision,Sensitivity,Specificity,TN,FP,FN,TP
full,23,0.4749999999999999,0.8942163119382538,0.9170613398896899,0.7485549132947977,0.6640926640926641,1.0,0.49710982658959535,1.0,173,0,87,86
top10,10,0.5,0.9078151625513716,0.9314368956350206,0.8294797687861272,0.7958477508650519,0.9913793103448276,0.6647398843930635,0.9942196531791907,172,1,58,115
top5,5,0.5,0.8410905810417989,0.8815374012266683,0.7427745664739884,0.6536964980544747,1.0,0.48554913294797686,1.0,173,0,89,84
